Date,Amount,Credit or Debit,Check Number,Description
12/31/2012,10,Debit,,MAINTENANCE FEE
12/27/2012,500,Debit,1035,Check #1035 PAYCHECK
12/24/2012,1415,Credit,,WIRE RSC
12/18/2012,25,Debit,,ACH WEB: PAYPAL INST XFER
12/12/2012,105.2,Debit,,POS USPS 079810 USPS 07981007830313597 WOODLAND PARK CO
12/12/2012,4.57,Debit,,POS KALL8 KALL8 866-2221818 WA
12/10/2012,4,Debit,,ACH WEB: PAYPAL INST XFER
11/30/2012,10,Debit,,MAINTENANCE FEE
11/28/2012,26.7,Debit,,ACH PPD: HARLAND CLARKE CHK ORDER
11/27/2012,44.6,Debit,,POS UPS*1ZT9201 UPS*1ZT920144292403226 800-811-1648 GA
11/23/2012,120,Debit,1033,Check #1033 DATA102
11/20/2012,500,Debit,1032,Check #1032 PAYCHECK
11/19/2012,1185.95,Debit,,ACH WEB: PAYPAL INST XFER
11/19/2012,3015,Debit,,Miscellaneous Debit MIKE COLLINS
11/16/2012,3556,Credit,,WIRE RSC
11/16/2012,1818,Credit,,WIRE RSC
11/13/2012,31.5,Debit,,POS UPS*0837084 UPS*0837084909 502-485-2222 KY
11/13/2012,14.11,Debit,,POS KALL8 KALL8 866-2221818 WA
11/07/2012,16.7,Debit,,POS THE UPS STO THE UPS STORE 1374 WOODLAND PARK CO
10/31/2012,120,Debit,1031,Check #1031 DATA102
10/31/2012,10,Debit,,MAINTENANCE FEE
10/30/2012,104.2,Debit,,POS USPS 079810 USPS 07981007830313597 WOODLAND PARK CO
10/24/2012,193.26,Debit,,POS DKC*DIGI KE DKC*DIGI KEY CORP 800-344-4539 MN
10/24/2012,18.11,Debit,,POS KALL8 KALL8 866-2221818 WA
10/22/2012,500,Debit,1030,Check #1030 PAYCHECK
10/22/2012,40,Debit,1,Check #1 UPS
10/15/2012,465.7,Debit,,POS USPS 079810 USPS 07981007830313597 WOODLAND PARK CO
10/15/2012,1023,Credit,,INTL WIRE RSC
10/11/2012,60,Debit,,ACH WEB: PAYPAL INST XFER
10/04/2012,296.21,Debit,,POS DKC*DIGI KE DKC*DIGI KEY CORP 800-344-4539 MN
10/04/2012,86.8,Debit,,POS USPS 079810 USPS 07981007830313597 WOODLAND PARK CO
10/02/2012,125.5,Debit,,ACH WEB: PAYPAL INST XFER
10/01/2012,5526.87,Debit,,POS DKC*DIGI KE DKC*DIGI KEY CORP 800-344-4539 MN
09/28/2012,10,Debit,,MAINTENANCE FEE
09/27/2012,2910,Debit,,Miscellaneous Debit EE COMPONENTS 5030
09/27/2012,1426,Credit,,WIRE
09/26/2012,120,Debit,1029,Check #1029 DATA102
09/25/2012,333.37,Debit,,ACH WEB: PAYPAL INST XFER
09/25/2012,185.31,Debit,,ACH WEB: PAYPAL INST XFER
09/24/2012,367.25,Debit,1,Miscellaneous Debit GLOCOM
09/21/2012,1461,Debit,,POS FEC*FUTUREE FEC*FUTUREELECTRONICS 800-444-0050 MA
09/20/2012,3430,Credit,,WIRE RSC
09/20/2012,3412,Credit,,WIRE RSC
09/18/2012,3520,Credit,,WIRE RSC
09/11/2012,60,Debit,,POS SOS REGISTR SOS REGISTRATION FEE 303-894-2200 CO
09/11/2012,105,Debit,1028,Check #1028 MISC BANK FEE
09/10/2012,3390,Debit,,Miscellaneous Debit GLOCOM
09/07/2012,500,Debit,1027,Check #1027 PAYCHECK
09/05/2012,3949,Credit,,WIRE
08/31/2012,10,Debit,,MAINTENANCE FEE
08/29/2012,120,Debit,1026,Check #1026 DATA102
08/24/2012,500,Debit,1025,Check #1025 PAYCHECK
08/16/2012,661,Credit,,WIRE RSC
08/14/2012,4.08,Debit,,POS KALL8 KALL8 866-2221818 WA
08/10/2012,350.3,Debit,,POS DKC*DIGI KE DKC*DIGI KEY CORP 800-344-4539 MN
07/31/2012,10,Debit,,MAINTENANCE FEE
07/20/2012,120,Debit,,Check DATA102
07/19/2012,500,Debit,1023,Check #1023 PAYCHECK
07/13/2012,2320,Credit,,WIRE RSC
07/12/2012,4.08,Debit,,POS KALL8 KALL8 866-2221818 WA
07/03/2012,73.45,Debit,,POS USPS 079810 USPS 07981007830313597 WOODLAND PARK CO
06/29/2012,10,Debit,,MAINTENANCE FEE
06/28/2012,360,Debit,,POS DATA 102 LL DATA 102 LLC COLORADO SPRI CO
06/27/2012,38,Debit,,POS USPS 079810 USPS 07981007830313597 WOODLAND PARK CO
06/22/2012,73.45,Debit,,POS USPS 079810 USPS 07981007830313597 WOODLAND PARK CO
06/12/2012,4.17,Debit,,POS KALL8 KALL8 866-2221818 WA
06/12/2012,500,Debit,1022,Check #1022 PAYCHECK
06/01/2012,500,Credit,,ACH PPD: PAYPAL TRANSFER
05/31/2012,77.9,Debit,,POS USPS 079810 USPS 07981007830313597 WOODLAND PARK CO
05/31/2012,10,Debit,,MAINTENANCE FEE
05/18/2012,1.5,Debit,,POS USPS 079810 300 W SOUTH AVE WOODLAND PARK CO
05/15/2012,4,Debit,,POS KALL8 KALL8 866-2221818 WA
05/07/2012,377.49,Debit,,POS AMAZON MKTP AMAZON MKTPLACE PMTS AMZN.COM-BILL WA
05/07/2012,152.05,Debit,,POS USPS 079810 USPS 07981007830313597 WOODLAND PARK CO
04/30/2012,10,Debit,,MAINTENANCE FEE
04/27/2012,366,Debit,1021,Check #1021 DATA102
04/25/2012,59.2,Debit,,POS USPS 079810 USPS 07981007830313597 WOODLAND PARK CO
04/19/2012,502.92,Debit,,POS DKC*DIGI KE DKC*DIGI KEY CORP 800-344-4539 MN
04/12/2012,4.2,Debit,,POS KALL8 KALL8 866-2221818 WA
04/02/2012,435,Debit,,POS H+R BLOCK 6 H+R BLOCK 6951 COLORADO SPRI CO
03/30/2012,10,Debit,,MAINTENANCE FEE
03/13/2012,4.92,Debit,,POS KALL8 KALL8 866-2221818 WA
03/12/2012,136.88,Debit,1020,Check #1020 UPS
03/01/2012,246,Debit,1019,Check #1019 DATA102
02/29/2012,10,Debit,,MAINTENANCE FEE
02/28/2012,28.25,Debit,,POS USPS 079810 USPS 07981007830313597 WOODLAND PARK CO
02/14/2012,4.43,Debit,,POS KALL8 KALL8 866-2221818 WA
01/31/2012,10,Debit,,MAINTENANCE FEE
01/20/2012,42,Debit,,POS USPS 079810 USPS 07981007830313597 WOODLAND PARK CO
01/18/2012,60,Debit,1014,Check #1014 PAYCHECK
01/12/2012,4.4,Debit,,POS KALL8 KALL8 866-2221818 WA
01/09/2012,120,Debit,1018,Check #1018 DATA102
01/04/2012,5288,Debit,,Miscellaneous Debit AV TECH
01/04/2012,964,Debit,,Miscellaneous Debit LONRUN
01/03/2012,37.58,Debit,,POS GOOGLE*7398 GOOGLE*7398671080 CC@GOOGLE.COM CA
