"Date","Amount","Credit or Debit","Check Number","Description"
"12/31/2012","$10.00","Debit","","MAINTENANCE FEE"
"12/27/2012","$500.00","Debit","1035","Check #1035"
"12/24/2012","$1,415.00","Credit","","WIRE"
"12/18/2012","$25.00","Debit","","ACH WEB: PAYPAL INST XFER"
"12/12/2012","$105.20","Debit","","POS USPS 079810 USPS 07981007830313597 WOODLAND PARK CO"
"12/12/2012","$4.57","Debit","","POS KALL8 KALL8 866-2221818 WA"
"12/10/2012","$4.00","Debit","","ACH WEB: PAYPAL INST XFER"
"11/30/2012","$10.00","Debit","","MAINTENANCE FEE"
"11/28/2012","$26.70","Debit","","ACH PPD: HARLAND CLARKE CHK ORDER"
"11/27/2012","$44.60","Debit","","POS UPS*1ZT9201 UPS*1ZT920144292403226 800-811-1648 GA"
"11/23/2012","$120.00","Debit","1033","Check #1033"
"11/20/2012","$500.00","Debit","1032","Check #1032"
"11/19/2012","$1,185.95","Debit","","ACH WEB: PAYPAL INST XFER"
"11/19/2012","$3,015.00","Debit","","Miscellaneous Debit"
"11/16/2012","$3,556.00","Credit","","WIRE"
"11/16/2012","$1,818.00","Credit","","WIRE"
"11/13/2012","$31.50","Debit","","POS UPS*0837084 UPS*0837084909 502-485-2222 KY"
"11/13/2012","$14.11","Debit","","POS KALL8 KALL8 866-2221818 WA"
"11/7/2012","$16.70","Debit","","POS THE UPS STO THE UPS STORE 1374 WOODLAND PARK CO"
"10/31/2012","$120.00","Debit","1031","Check #1031"
"10/31/2012","$10.00","Debit","","MAINTENANCE FEE"
"10/30/2012","$104.20","Debit","","POS USPS 079810 USPS 07981007830313597 WOODLAND PARK CO"
"10/24/2012","$193.26","Debit","","POS DKC*DIGI KE DKC*DIGI KEY CORP 800-344-4539 MN"
"10/24/2012","$18.11","Debit","","POS KALL8 KALL8 866-2221818 WA"
"10/22/2012","$500.00","Debit","1030","Check #1030"
"10/22/2012","$40.00","Debit","1","Check #1"
"10/15/2012","$465.70","Debit","","POS USPS 079810 USPS 07981007830313597 WOODLAND PARK CO"
"10/15/2012","$1,023.00","Credit","","INTL WIRE"
"10/11/2012","$60.00","Debit","","ACH WEB: PAYPAL INST XFER"
"10/4/2012","$296.21","Debit","","POS DKC*DIGI KE DKC*DIGI KEY CORP 800-344-4539 MN"
"10/4/2012","$86.80","Debit","","POS USPS 079810 USPS 07981007830313597 WOODLAND PARK CO"
"10/2/2012","$125.50","Debit","","ACH WEB: PAYPAL INST XFER"
"10/1/2012","$5,526.87","Debit","","POS DKC*DIGI KE DKC*DIGI KEY CORP 800-344-4539 MN"
"9/28/2012","$10.00","Debit","","MAINTENANCE FEE"
"9/27/2012","$2,910.00","Debit","","Miscellaneous Debit"
"9/27/2012","$1,426.00","Credit","","WIRE"
"9/26/2012","$120.00","Debit","1029","Check #1029"
"9/25/2012","$333.37","Debit","","ACH WEB: PAYPAL INST XFER"
"9/25/2012","$185.31","Debit","","ACH WEB: PAYPAL INST XFER"
"9/24/2012","$367.25","Debit","1","Miscellaneous Debit"
"9/21/2012","$1,461.00","Debit","","POS FEC*FUTUREE FEC*FUTUREELECTRONICS 800-444-0050 MA"
"9/20/2012","$3,430.00","Credit","","WIRE"
"9/20/2012","$3,412.00","Credit","","WIRE"
"9/18/2012","$3,520.00","Credit","","WIRE"
